站名,座標,緯度,經度
大潤發,24.9204+121.2134,24.9204,121.2134
忠貞,24.93029+121.25383,24.93029,121.25383
龍聖,24.87005+121.20464,24.87005,121.20464
凌雲岡,24.87148+121.2037,24.87148,121.2037
慈惠宮,24.87405+121.202,24.87405,121.202
德龍國小,24.87982+121.19935,24.87982,121.19935
八張犁,24.88271+121.19875,24.88271,121.19875
金車公司,24.89272+121.19508,24.89272,121.19508
倚翠園,24.8992+121.19336,24.8992,121.19336
鎮興里,24.90161+121.19199,24.90161,121.19199
試驗廠,24.907+121.18896,24.907,121.18896
三龍新村,24.915+121.18633,24.915,121.18633
瑞埔國小,24.91623+121.18557,24.91623,121.18557
中興路,24.91796+121.18455,24.91796,121.18455
春源,24.87686+121.19993,24.87686,121.19993
大丘田,24.9875+121.2086,24.9875,121.2086
大興春日路口,25.01547+121.30988,25.01547,121.30988
台北檳城,25.01616+121.31435,25.01616,121.31435
味全牧場,24.92571+121.17579,24.92571,121.17579
壽山,24.99622+121.34065,24.99622,121.34065
上石橋,24.98868+121.10324,24.98868,121.10324
王一公司,24.99354+121.10093,24.99354,121.10093
工作站,24.99685+121.10011,24.99685,121.10011
榮興,24.99985+121.09949,24.99985,121.09949
忠興,25.00323+121.09816,25.00323,121.09816
石橋,25.00673+121.09653,25.00673,121.09653
和興,25.01608+121.09305,25.01608,121.09305
坑尾,25.01799+121.09352,25.01799,121.09352
六號坡,24.97921+121.20976,24.97921,121.20976
美夢成真社區,25.02012+121.09236,25.02012,121.09236
三和,25.02167+121.09068,25.02167,121.09068
橫圳頭,25.02461+121.08759,25.02461,121.08759
橫圳頂,25.02657+121.08589,25.02657,121.08589
水利站,25.03295+121.0829,25.03295,121.0829
觀音分駐所,25.03647+121.08257,25.03647,121.08257
觀音站,25.03778+121.08096,25.03778,121.08096
湧興路,24.89714+121.20799,24.89714,121.20799
湧光福德祠,24.89317+121.2068,24.89317,121.2068
湧光路,24.88974+121.20343,24.88974,121.20343
湧光路577巷,24.88912+121.20068,24.88912,121.20068
皇家大庭院,24.90166+121.19199,24.90166,121.19199
埔心火車站,24.91966+121.18445,24.91966,121.18445
千頃堂,24.92304+121.18907,24.92304,121.18907
八角塘,24.92127+121.19509,24.92127,121.19509
鎮安宮,24.9212+121.20376,24.9212,121.20376
平德路二,24.92847+121.199,24.92847,121.199
